18/07/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          15029724          P          07          24
          15026462          C          07          24
          77330882          C          07          24
          76170732          P          07          24
          77322533          C          07          24
          77181314          P          07          24
          77232343          P          07          24
          77192941          P          07          24
          77181615          P          07          24
          77268132          P          07          24
          77325612          C          07          24
          13011064          C          07          24
          82012243          C          07          24
          18035115          C          07          24
          15018605          P          07          24
          15024533          P          07          24
          15015694          P          07          24
          15016195          P          07          24
          15016894          P          07          24
          15017691          P          07          24
          15025055          P          07          24
          15022332          P          07          24
          15017405          P          07          24
          16005893          P          07          24
          01022395          P          07          24
          77227911          P          07          24
          77316231          C          07          24
          77103324          P          07          24
          77243904          P          07          24
          77221313          P          07          24
          15034944          P          07          24
          15035055          P          07          24
          77327494          C          07          24
          77323521          C          07          24
          73008074          P          07          24
          01025885          P          07          24
          77246601          P          07          24
          77195274          P          07          24
          70293302          P          07          24
          88006844          C          07          24
          15030314          P          07          24
          77228093          P          07          24
          77320633          C          07          24
          77262822          P          07          24
          77229235          P          07          24
          77235414          P          07          24
          77066093          P          07          24
          77216371          P          07          24
          77326105          C          07          24
          77243051          P          07          24
          41005864          P          07          24
          26001844          P          07          24
          26001865          P          07          24
          77220414          P          07          24
          77241402          P          07          24
          76255744          P          07          24
          77283035          P          07          24
          77281465          P          07          24
          77320015          C          07          24
          77317334          C          07          24
          77011433          P          07          24
          77142831          P          07          24
          77250794          C          07          24
          76250642          C          07          24
          47058613          P          07          24
          37013493          P          07          24
          37007484          C          07          24
          37008684          C          07          24
          77220105          P          07          24
          77339315          C          07          24
          77223721          P          07          24
          77221994          P          07          24
          77233603          P          07          24
          37013304          C          07          24
          66002442          P          07          24
          99157831          C          07          24
          99158353          C          07          24
          99053605          P          07          24
          99097104          P          07          24
          71010704          P          07          24
          99158442          C          07          24
          81142624          P          07          24
          74030411          P          07          24
          74028935          P          07          24
          76304682          C          07          24
          99157695          C          07          24
          40011763          C          07          24
          77035911          P          07          24
          77295812          P          07          24
          47139341          P          07          24
          09003702          P          07          24
          64052405          C          07          24
          74031394          C          07          24
          76248124          P          07          24
          70193162          P          07          24
          70323301          P          07          24
          76110203          P          07          24
          70319365          C          07          24
          70225202          P          07          24
          70193243          P          07          24
          73006433          P          07          24
          42001975          P          07          24
          15016695          P          07          24
          77233873          P          07          24
          82011323          P          07          24
          01018273          P          07          24
          77228852          P          07          24
          49010495          P          07          24
          49013493          P          07          24
          75177255          P          07          24
          77324323          C          07          24
          75235964          P          07          24






         TOTAL DE REGISTROS:      1134


          Planta Contratada:       347


          Planta Permanente:       787


